user_id,item_id,timestamp,play_count
10,7874,6,1
10,12689,9,1
10,17076,10,1
10,11800,19,1
10,221,23,1
10,8697,27,1
10,5217,28,1
10,16117,30,1
10,7145,34,1
10,2309,35,1
10,5331,37,1
10,4894,40,1
10011,660,0,1
10011,7221,3,1
10011,3282,10,1
10011,3641,11,1
10011,3257,12,1
10011,5719,14,1
10011,8447,15,1
10011,2728,16,1
10011,5593,17,1
10011,6332,20,1
10011,13466,21,1
10011,16711,22,1
10011,13021,25,1
10011,7874,26,1
10011,5722,27,1
10011,5446,28,1
10011,13928,29,1
10011,2163,30,1
10011,4590,31,1
10011,7031,34,1
10011,14002,35,1
10011,13103,36,1
10011,14476,37,1
10011,14491,39,1
10011,16586,40,1
10011,1433,41,1
10011,9078,43,1
10011,17339,46,1
10011,10433,47,1
10011,12138,48,1
10011,7822,49,1
10011,7686,51,1
10011,7225,54,1
10011,6604,55,1
10011,3920,56,1
10011,10208,60,1
10011,6062,61,1
10011,2402,62,1
10011,8236,66,1
10011,12845,69,1
10011,8881,71,1
10011,2935,72,1
10011,9894,73,1
10011,6064,74,1
10011,3446,75,1
10011,9697,76,1
10011,2984,79,1
10011,8071,81,1
10011,15982,82,1
10011,7583,83,1
10014,684,2,1
10014,2801,3,1
10014,11427,5,1
10014,4993,7,1
10014,7234,9,1
10014,14306,12,1
10014,6433,14,1
10014,10548,15,1
10014,15981,16,1
10014,12366,19,1
10014,6062,20,1
10014,6402,21,1
10014,10171,22,1
1002,16047,1,1
1002,1433,3,1
1002,2496,5,1
1002,2891,8,1
1002,3778,10,1
1002,15499,11,1
1002,5242,15,1
1002,3914,16,1
1002,7905,17,1
1002,8881,18,1
1002,192,19,1
1002,4768,20,1
1002,1695,22,1
10029,14483,0,1
10029,5195,2,1
10029,16680,4,1
10029,15061,7,1
10029,15172,9,1
10029,1598,12,1
10029,7634,16,1
10029,5552,19,1
10029,4725,21,1
10029,4795,22,1
10029,12765,24,1
10029,4488,30,1
10029,10411,31,1
1003,12581,5,1
1003,1871,7,1
1003,4605,8,1
1003,17549,11,1
1003,1638,13,1
1003,2891,15,1
1003,3962,16,1
1003,17076,18,1
1003,16210,27,1
1003,16244,29,1
1003,12689,30,1
1003,8863,33,1
1003,1677,35,1
1003,9539,37,1
1003,823,47,1
10030,647,1,1
10030,14238,2,1
10030,7660,15,1
10030,7790,16,1
10030,8531,18,1
10030,2163,21,1
10030,16210,22,1
10030,15667,24,1
10030,2192,25,1
10030,13487,27,1
10030,2067,30,1
10030,4281,32,1
10030,6285,36,1
10030,2013,38,1
10030,3966,40,1
10030,1074,41,1
10030,5242,42,1
10030,1390,43,1
10030,1732,45,1
10030,4006,47,1
10030,5689,48,1
10033,16856,2,1
10033,11709,3,1
10033,6332,5,1
10033,13198,6,1
10033,16540,7,1
10033,4981,10,1
10033,4727,12,1
10033,8574,14,1
10033,11321,16,1
10033,16798,17,1
10033,16898,19,1
10033,9964,21,1
10033,100,22,1
10033,13607,23,1
10033,8696,27,1
10033,2013,28,1
10033,1708,30,1
10033,8578,32,1
10033,5331,33,1
10033,6180,36,1
10033,735,37,1
10033,3692,39,1
10033,16072,40,1
10033,6062,41,1
10033,12792,44,1
10033,14720,45,1
10033,8523,46,1
10033,17339,47,1
10033,15511,49,1
10033,14191,50,1
10033,6604,51,1
10033,9894,53,1
10033,6658,54,1
10033,9999,57,1
10033,593,59,1
10033,976,61,1
10033,2335,62,1
10033,5151,63,1
10033,2728,65,1
10033,3744,66,1
10033,1574,67,1
10033,12578,68,1
10033,10464,69,1
10033,16056,70,1
10033,3203,72,1
10033,9564,80,1
10033,9712,84,1
10041,11115,0,1
10041,12271,1,1
10041,4453,2,1
10041,2889,4,1
10041,9710,5,1
10041,10411,9,1
10041,6285,11,1
10041,1467,13,1
10041,2342,15,1
10041,16684,21,1
10041,5733,26,1
10041,15934,27,1
10041,6954,28,1
